8.293756,Personalized video adaptation based on video content analysis,1
8.15313,An annotation method and application for video contents based on a semantic graph,1
7.401012,Semantic Web for Content Based Video Retrieval,1
6.7384186,Graph aggregation based image modeling and indexing for video annotation,1
5.834744,Towards effective video annotation: An approach to automatically link notes with video content,1
5.796283,Content redundancy in YouTube and its application to video tagging,1
5.3311806,Video-Based sign language content annotation by incorporation of MPEG-7 standard,1
5.2645884,Knowledge-Supported Segmentation and Semantic Contents Extraction from MPEG Videos for Highlight-Based Annotation, Indexing and Retrieval,1
5.1711884,Browsing personal digital photograph collections with spatial and temporal based ontology and MPEG-7 dozen dimensional digital content architecture,1
5.033605,Extracting Motion Annotations from MPEG-2 Compressed Video for HDTV Content Management Applications,1
4.9379725,Online multi-label active annotation: towards large-scale content-based video search,1
4.8877444,Multimedia ontology learning for automatic annotation and video browsing,1
4.638959,A survey of semantic image and video annotation tools,1
4.6171427,A video retrieval system for electrical safety education based on a mobile agent,1
4.6100225,Concept based interactive retrieval for social environment,0
4.54605,Visual video retrieval system using MPEG-7 descriptors,1
4.4467607,Shiatsu: semantic-based hierarchical automatic tagging of videos by segmentation using cuts,1
4.2550983,Learning ontology for personalized video retrieval,1
4.23764,Optimizing multi-graph learning: towards a unified video annotation scheme,1
3.941114,Automatic annotation of multimedia content by user clickthroughs: enhancing the performance of multimedia search engines,1
3.9028544,State-of-the-art on spatio-temporal information-based video retrieval,1
3.901217,A web-based system for collaborative annotation of large image and video collections: an evaluation and user study,1
3.6724937,A scalable and extensible segment-event-object-based sports video retrieval system,1
3.5464754,CLOVIS: towards precision-oriented text-based video retrieval through the unification of automatically-extracted concepts and relations of the visual and audio/speech contents,1
3.4844923,Film Video Modeling,1
3.4483662,Beyond search: Event-driven summarization for web videos,1
3.3882093,Video Annotation for Content-based Retrieval using Human Behavior Analysis and Domain Knowledge,1
3.2482953,A usability study of a mobile content sharing system,1
3.1451795,Image retrieval based on a multipurpose watermarking scheme,0
2.9329152,Enhancing search in a geospatial multimedia annotation system,0
2.7388093,Investigating the usability of a mobile location-based annotation system,1
2.659697,Automatic Classification of Tennis Video for High-level Content-based Retrieval,1
2.5246356,VFerret: content-based similarity search tool for continuous archived video,0
2.447195,MonuAnno: automatic annotation of georeferenced landmarks images,0
2.3075464,Hidden Markov models for automatic annotation and content-based retrieval of images and video,1
2.2840028,GAT: a Graphical Annotation Tool for semantic regions,1
2.0879798,A hybrid ontology and visual-based retrieval model for cultural heritage multimedia collections,1
1.8899138,Active learning in multimedia annotation and retrieval: A survey,1
1.8659594,Relevance feedback strategies for artistic image collections tagging,0
1.5989771,How do you feel about "dancing queen"?: deriving mood And theme annotations from user tags,1
1.4778929,Model-based analysis of flow-mediated dilation and intima-media thickness,0
1.381433,Experiences of semantic tagging with Tilkut,1
1.2789953,Surfing on artistic documents with visually assisted tagging,0
1.1962376,Timesheets.js: when SMIL meets HTML5 and CSS3,0
0.84594196,Vlogging: A survey of videoblogging technology on the web,0
0.75544596,Experiential meeting system,0
0.7331668,Text mining and probabilistic language modeling for online review spam detection,0
0.7289353,Towards the semantic and context-aware management of mobile multimedia,1
0.6978782,Automatic tag expansion using visual similarity for photo sharing websites,1
0.6736839,Smart meeting systems: A survey of state-of-the-art and open issues,0
0.6166442,Visualization in Medicine: Theory, Algorithms, and Applications,0
0.4985115,Building a Usable and Accessible Semantic Web Interaction Platform,0
0.4080455,Automatic creation of photo books from stories in social media,1
